front,back,hint,publishedAt,pronunciation
cobweb,telaraña,The old house was filled with cobwebs in every corner.,2026-08-22T08:29:02.454Z,/ˈkɑbˌwɛb/
Be a nuisance,Sé una molestia,Be a nuisance. Take caution.,2026-08-10T18:25:01.237Z,/ˈbi ə ˈnusəns/
tender feet,pies sensibles,,2026-08-06T05:27:23.822Z,/ˌtɛndər ˈfit/
shooting star,estrella fugaz,"Last night, I saw a shooting star and made a wish for happiness.",2026-08-03T21:49:22.889Z,/ˈʃutɪŋ stɑr/
gross,asqueroso,The food was so gross that I couldn't eat it.,2026-08-03T21:40:18.274Z,
armpit,axila,I put deodorant on my armpits every morning.,2026-08-03T21:36:38.120Z,/ˈɑrmˌpɪt/
humming,tararear,The child was humming a cheerful song while playing in the garden.,2026-08-03T12:22:46.891Z,/ˈhʌmɪŋ/
yawn,bostezo,She couldn't help but yawn during the boring lecture.,2026-08-01T22:38:03.168Z,/jɔn/
garish,chillón,The garish colors of the carnival made it hard to focus on anything else.,2026-07-27T16:02:22.868Z,/ˈɡærɪʃ/
wasp,avispa,"The wasp flew around the picnic, making everyone nervous.",2026-07-27T14:09:26.186Z,/wɑsp/
vultures,buitres,"The vultures circled above, waiting for the right moment to land.",2026-07-23T19:35:00.147Z,/ˈvʌltʃərz/
mermaid,sirena,The little girl dressed up as a mermaid for the costume party.,2026-07-22T09:07:46.067Z,/ˈmɜrˌmeɪd/
allegedly,supuestamente,The suspect allegedly stole the car.,2026-07-20T06:18:04.146Z,/əˈlɛdʒədli/
snore,roncar,He snores loudly every night.,2026-07-02T14:53:19.445Z,/snɔr/
splinter,astilla,The child cried when he got a splinter in his finger.,2026-06-01T21:42:23.605Z,/ˈsplɪntər/
mouthy,bocazas,,2026-05-23T03:38:09.640Z,/ˈmaʊθi/
have someone's back,cubrirle las espaldas a alguien,"Don't worry, I have your back during the presentation.",2026-05-21T18:12:23.659Z,/ˈhæv ˈsʌˌmwʌnz ˈbæk/
get off on something,flipar con algo,She really gets off on horror movies; she watches them every weekend.,2026-05-21T17:17:18.279Z,/ˈɡɛt ˈɔf ˈɑn ˈsʌmθɪŋ/
mumble,murmullo,She tends to mumble when she is nervous during presentations.,2026-05-19T20:49:06.348Z,/ˈmʌmbəl/
mischivous,travieso,The mischievous puppy stole my socks and ran around the house.,2026-05-18T06:25:35.778Z,/ˈmɪstʃɪvəs/
be blown away,quedar impresionado,I was blown away by the magician's incredible tricks!,2026-05-16T07:18:47.836Z,/ˈbi ˈbloʊn əˈweɪ/
hit on someone,coquetear con alguien,"At the party, he tried to hit on her by complimenting her dress.",2026-05-16T07:16:54.759Z,/ˈhɪt ˈɑn ˈsʌˌmwʌn/
