term,example
aching,I'm aching to tell this good news to my family.
aching,I'm aching to go to Australia.
aching,I was aching to tell her the secret.
aching,She was aching from head to foot.
acorn,Great oaks from little acorns grow.
acorn,Even a blind squirrel finds an acorn sometimes.
acorn,A hungry pig dreams of acorns.
acorn,From a small acorn grows a tall oak tree.
acute,This city will suffer from an acute water shortage unless it rains soon.
acute,A dog has an acute sense of smell.
acute,An acute lack of funds is holding up the plan.
acute,The housing shortage is very acute.
all in all,"All in all, this was a nice party."
all in all,"But all in all, things have gone well."
all in all,"There are some misprints, but all in all, it's a good book."
all in all,"All in all, the novel was a success."
allegedly,A commercial airplane allegedly violated military airspace.
allegedly,Most airplane accidents allegedly occur at landing or takeoff stages.
allegedly,She allegedly killed him in self-defense.
allegedly,The injaculation method allegedly enables men to have multiple orgasms.
alley,Watch your step in dark alleys.
alley,The northernmost part of the city is a maze of alleys.
alley,"Thankfully, there was an Armani store just outside the alley where Dima had slept."
alley,The only window in our hotel room opens onto a smelly alley.
alumni,"The cruise for M.I.T. alumni was called ""A Ship of Tools."""
alumni,The event was open to students and alumni.
alumni,We're both alumni of this university.
alumni,Alumni are listed by their department of study.
ambush,"He lay prostrate, ready to ambush the invaders."
ambush,He met with a tragic death in an ambush.
ambush,The squadron encountered an ambush and scrambled for coverage.
ambush,Tom explained how the ambush would work.
appealing,Nothing is so appealing as the innocent face of a sleeping baby.
appealing,They are appealing for money to help refugees.
appealing,She gave me an appealing look.
appealing,My mother says she doesn't find rock appealing.
appointment,I canceled my appointment because of urgent business.
appointment,"I am very sorry, but I must cancel our appointment for February 27."
appointment,A sudden illness forced her to cancel her appointment.
appointment,I regret to inform you that I will be unable to keep our appointment for February 27.
armpit,Nobody wants to write sentences about armpits.
armpit,"In the summer I sweat a lot, and my armpits get smelly."
armpit,Many women in the world shave their armpits.
armpit,Sami completely cut Layla's arms at the armpits.
as much as,Laugh as much as you like; I'll stick to my plan to the bitter end.
as much as,"If I want to master a foreign language, I must study as much as possible."
as much as,Our rent is four times as much as it was ten years ago.
as much as,Nobody contributed to the understanding of dreams as much as Freud.
astounding,The diversity of flowers in this area is astounding.
astounding,Beijing is changing with astounding speed.
astounding,Cats are astounding predators.
astounding,Ziri's cat has astounding hunting techniques.
at last!,"Our dream has come true, at last!"
at last!,At last! Adobe dumps this shitty Flash for mobiles.
at last!,I've just signed the divorce papers; I'm free at last!
at last!,"""Tom asked me to marry him."" ""At last!"""
backfired,It backfired on me despite my good intentions.
backfired,He meddled where he wasn't wanted and it backfired on him.
backfired,Jackie's efforts to help homeless people backfired on her.
backfired,The joint-venture in Cambodia backfired.
ban,The local school board would go to any length to ban that book.
ban,The band played marvellously under the baton of a new conductor.
ban,The band played several marches.
ban,The band played for the visiting monarch.
banter,Lucy was bantered by her grandparents.
banter,The conversation started with friendly banter but ended in bruises.
banter,Tom sat at the bar and exchanged some friendly banter with the locals.
banter,They engaged in friendly banter.
barefoot,Shoemakers' children go barefoot.
barefoot,He was so startled that he ran outside barefoot.
barefoot,I once saw a man walk barefoot over hot coals.
barefoot,"Look, the boys are walking barefoot in the water."
bargain,We bargained that we should go on a five-day week.
bargain,The media sells a trace of hatred at bargain prices.
bargain,I didn't bargain for Mary's coming so soon.
bargain,Let's take advantage of the bargain sale and save money.
Be a nuisance,The telephone can be a nuisance.
Be a nuisance,I don't want to be a nuisance.
Bear with me.,"I'm a bit serious today, but please bear with me."
because of,We can't sleep because of the noise.
because of,The airport was closed because of the fog.
because of,"Because of the problem of air pollution, the bicycle may some day replace the automobile."
because of,Bank lending is rising because of lower interest rates.
begging,"Just like I thought, the contractor came back today, begging for more time."
begging,The man went begging from door to door.
begging,The child is always begging for something.
begging,"If those biscuits are going begging, I'll have them."
beneath,The money was hidden beneath the floorboards.
beneath,The ice will crack beneath our weight.
beneath,It is beneath my dignity to ask a favor.
beneath,It is beneath him to say such a thing.
berate,Dan berated Matt for involving Linda in the robbery.
berate,The teacher lost his job because he cruelly berated students who made mistakes.
berate,"If you berate me like that again, I will quit."
berate,Ziri ran out of the restaurant and started berating Rima in the middle of the street.
berk,I want to apologise for calling you a berk in front of your girlfriend.
bitterness,"She said good-bye with a smile, but there was a good deal of bitterness in her heart."
bitterness,There was a savour of bitterness in his voice.
bitterness,There was a savour of bitterness in her voice.
bitterness,Don't call sweet that which gives rise to bitterness.
blackmail,She is being blackmailed by him.
blackmail,Tom is being blackmailed by Mary.
blackmail,Tom was being blackmailed by Mary.
blackmail,"Does that sound like blackmail to you, Tom?"
blacktop,The blacktop road glistened in the heat of the afternoon sun.
blatantly,Esperanto is blatantly Eurocentric.
blatantly,Don't expect me to be truthful when you keep lying to me so blatantly.
blatantly,Sami was blatantly indifferent.
blatantly,"It was parked crooked, but not blatantly so."
bleachers,"Eventually, bleachers will be added."
bleachers,Let's ditch them and hide under the bleachers.
bleachers,Sami and Layla sat on the bleachers.
bleachers,Sami was sitting on the bleachers.
bliss,The bliss was often interrupted by anxiety.
bliss,"Where ignorance is bliss, 'tis folly to be wise."
bliss,Their married life was full bliss.
bliss,Her unhappiness turned to bliss when she heard his voice.
blob,"Wait a minute. Did you call me ""blob""?"
blob,The first pancake is always a blob.
blob,What the fuck is fatphobia? What are you saying to me? I'm not afraid of blobs like you.
blob,Evolve or become a blob of cancer.
blubbering,Stop blubbering! It's not that bad.
blush,"What with joy and shame, she blushed to the ears."
blush,Bob is very timid and blushes when chatting with girls.
blush,Helen blushed at their praise.
blush,I blush to think of such conduct.
bold,May I make so bold as to request your assistance?
bold,The bold man glanced at the gangster with hatred and contempt.
bold,"When the time is ripe, be bold and go for it! I'll stand by you."
bold,It is bold of you to say such a thing.
bombshell,The mayor dropped a bombshell at the news conference.
bombshell,She dropped a bombshell on him.
bombshell,She dropped a bombshell upon him.
bombshell,"Someone said, ""I met two lipstick bombshells whispering. I did not catch anything."""
bonfire,We stayed around the bonfire telling jokes and horror stories.
bonfire,Tom and Mary made a bonfire on the beach.
bonfire,Tom started a bonfire on the beach.
bonfire,"In this game, bonfires serve as checkpoints."
booger,You've got a booger on your hair.
booger,Tom is picking boogers out of his nose.
booger,"He put a booger in his mouth, yuck!"
booger,"""What's that?"" ""It's a booger."""
brag,His work shows nothing to brag about.
brag,"Every time he meets me, he brags about his car."
brag,The urge to brag on his recent successes was irresistible.
brag,She brags about how well she can cook.
braid,She sat on the bed as her mother braided her hair.
braid,The girl's father put her hair in a braid.
braid,"Mom, I want you to braid my hair."
braid,Tom braided Mary's hair for her.
bribe,The old man bribed a young girl with money and jewelry.
bribe,The official was suspected of accepting bribes from the construction companies.
bribe,The politician was not ashamed of having taken bribes.
bribe,Mr Koop would be the last person to take a bribe.
bruise,My whole body was one big bruise after the rugby game.
bruise,The skin of peaches bruises easily.
bruise,My harsh words bruised her feeling.
bruise,I fell down really hard and got a black bruise on my knee.
buddy,They're buddies from my technical school.
buddy,You mean you're short on fuck-buddies?
buddy,"Oh, buddy, what I need is a strong stimulus, in the most hedonistic meaning of the word."
buddy,Tom and I are fishing buddies.
bugger,The new labourer was buggered by smoko.
bugger,"Bugger, the lining in my coat is fraying."
burst,By September the burst in spending seemed to be tapering off.
burst,"As soon as he entered the classroom, our teacher burst into angry speech."
burst,The burglar burst into his house.
burst,Don't burst out laughing like that. It's creepy.
bustling,The street was bustling with shoppers.
bustling,She is bustling about in the kitchen.
bustling,The sleepy town has been transformed into a bustling city.
bustling,"Subdued girls are generally the prettiest I reckon. The loud, bustling ones are awful."
butler,The butler announced Mr. and Mrs. Smith.
butler,I wish I had a butler like Tom.
butler,Tom asked the butler for butter.
butler,I would never have thought that the murderer was the butler.
by all means,You should by all means read the book.
by all means,We must prevail against our rivals by all means.
by all means,I must save the drowning child by all means.
by all means,We have to avoid the nuclear war by all means.
by chance,By chance we saw him as he came out of the shop.
by chance,"By chance, I met her in the street."
by chance,By chance I met my ex-girlfriend in Portugal.
by chance,I met her by chance on the train the day before yesterday.
by the way,It's hard to tell Englishmen from Americans just by the way they look.
by the way,"By the way, are you free this afternoon?"
by the way,"By the way, where does he live?"
by the way,"By the way, did you hear that Mary quit her job?"
can't stand,"I don't mind the cold, but I can't stand the heat."
can't stand,I can't stand that nasty attitude of his any longer.
can't stand,I can't stand that noise any longer.
can't stand,I can't stand to take another university entrance exam!
car wreck,Driving on a slippery road can lead to a car wreck.
car wreck,The bookkeeper lost his spleen in a horrible car wreck.
casket,The priest made the sign of the cross as the casket was lowered into the ground.
casket,A pallbearer carries the casket of the deceased at their funeral.
casket,Tom walked over to the casket and looked in.
casket,"When they opened the casket, there was no one there."
catcall,Mary was catcalled on her way to work.
catcall,She was catcalled while walking down the street.
catch on,"Being a foreigner, I couldn't catch on to the joke."
catch on,I couldn't catch on to the joke he told us.
catch on,He does not seem to be able to catch on to what she is saying.
catch on,She doesn't seem to be able to catch on to what he is saying.
catch up,You have to study hard to catch up with your class.
catch up,"However fast you may walk, you can't catch up with him."
catch up,"If you hurry, you'll catch up with him."
catch up,"Hurry up, or you won't catch up with him."
cave,"""What's going on in the cave? I'm curious."" ""I have no idea."""
cave,The cave was so dark that they had to feel their way.
cave,Was the cave found by the boys?
cave,A monster was believed to live in the cave.
chainsaw,"A handyman who possesses a chainsaw is not a handyman, but a terrorist."
chainsaw,"Martin, this shit just got real. Fetch the chainsaw."
chainsaw,Dan seriously injured a co-worker with his chainsaw.
chainsaw,The chainsaw you bought doesn't work.
chastise,He chastised them for being noisy.
chastise,Genius chastised grows in authority.
chastise,You chastise people for working hard.
chastise,"Thus pitilessly am I chastised, a sight of evil fame for Zeus."
chew,Food must be chewed well to be digested properly.
chew,Mabel loves to chew the fat while playing bridge.
chew,A rat chewed a hole in the wall.
chew,I didn't do well on the test so my parents chewed me out.
chewy,I like my cookies chewy rather than crunchy.
chewy,This chicken is too chewy to have been cooked correctly.
chewy,I am eating a chewy local delicacy.
chewy,These cookies are soft and chewy.
choke,I nearly choked on a fishbone.
choke,Carol couldn't choke back her tears.
choke,The baby almost choked on a piece of candy.
choke,I choked! I should have come up with a proper plan first.
chuckle,Bruce chuckled to himself as he read the letter.
chuckle,"""Hee hee,"" his mother chuckled, shaking her head."
chuckle,Tom chuckled when he heard Mary's joke.
chuckle,Tom chuckled quietly to himself.
chuckled,Bruce chuckled to himself as he read the letter.
chuckled,"""Hee hee,"" his mother chuckled, shaking her head."
chuckled,Tom chuckled when he heard Mary's joke.
chuckled,Tom chuckled quietly to himself.
claw,"Its sharp claws began to open and close, open and close."
claw,The cat dug its claws into my hand.
claw,A cat was sharpening its claws against a post.
claw,"""This is the first time I've ever clawed my owner"", said the cat."
cling,"Stop clinging to your glory days, or you'll be left behind."
cling,The boy is clinging to his mother.
cling,That child was clinging to his mother.
cling,The aristocrat clings to the glory of his past.
clumsy,The clumsy man envied her extraordinary talent.
clumsy,This scheme is clumsy production wise.
clumsy,"You are really clumsy, aren't you!"
clumsy,Her movements were awkward and her gesture clumsy.
cobweb,The windows were covered with cobwebs.
cobweb,There is a big cobweb in the corner.
cobweb,Tom finds that his daily visit to the gym is great for clearing the cobwebs in his head.
cobweb,Shadows hung to the walls like cobwebs.
come by,How did you come by this money?
come by,You are expected to come by 5:00.
come by,Nowadays jobs are hard to come by.
come by,"If they don't have a car, they'll come by taxi."
come up with,How did you come up with this crazy idea?
come up with,How did you come up with such a good excuse?
come up with,I hope you can come up with a better plan than this.
come up with,Our public leaders are imaginative and often come up with new ideas.
commitment,"You want commitment, don't you?"
commitment,I've got another commitment this evening.
commitment,We've already had a family commitment.
commitment,You've got to carry out your commitment at all costs.
compelling,That's a very compelling story.
compelling,I have never seen a compelling argument for religion. If I ever saw one I'd convert.
compelling,Fashion is a compelling subject for documentaries.
compelling,Fashion is a compelling subject for documentaries; few subjects are so enticingly visual.
complaints,I'm sick of listening to your complaints.
complaints,Make sure that the complaints are dealt with as quickly as possible.
complaints,I'm sick of listening to her complaints.
complaints,"If you have any complaints, let me know, and I'll look into them."
concrete jungle,Coventry is a concrete jungle full of chavs!
concrete jungle,"Once known as a concrete jungle, the city has changed its look."
concrete jungle,"Looking down, we saw a concrete jungle."
concrete jungle,"When we looked down, we saw a concrete jungle."
conundrum,The question of free will is a prickly conundrum to religion.
conundrum,Even the leading scientists of the day were left baffled by the conundrum.
convenient,Come and see me when it is convenient for you.
convenient,You can come and see me whenever it's convenient for you.
convenient,"A car is convenient, to be sure, but, after all, it will prove expensive."
convenient,When is it convenient for you?
cool off,Let your food cool off a bit; don't eat it while it's hot.
cool off,Leave your coffee there so it can cool off.
cool off,I suggest that you take a break and cool off a little.
cool off,Stand in the shade and cool off.
countless,There were countless stars in the sky.
countless,Countless stars were twinkling in the sky.
countless,There are countless heavenly bodies in space.
countless,A human body consists of a countless number of cells.
coup,We only have secondhand information of the coup.
coup,The coup attempt was foiled at the last moment.
coup,The coup was meticulously executed.
coup,"The Turkish coup d'état occurred on September 12, 1980."
cram,I suppose I'll be in trouble if I don't stay up all night to cram for the examination.
cram,I'm against us forcing the child to go to cram school.
cram,My cram school is a long way from here.
cram,Make a student cram for the entrance examination.
crave,I have a craving for fresh fruit.
crave,A baby craves its mother's milk.
crave,The mountaineer craved fresh water.
crave,I suddenly got a craving to eat some crisp roast chicken skin.
crawl,The holiday traffic crawled along the highway.
crawl,We crawled like so many ants along the mountain pass.
crawl,I felt something crawling on my back.
crawl,I felt something crawling up my arm.
crib,"The baby is in his crib, sucking on his pacifier."
crib,The baby is on the way and my husband hasn't put the crib together yet.
crib,Sami found Layla's baby in its crib.
crib,The baby is sleeping in his crib.
crippled,The Tokaido Line was crippled by the typhoon.
crippled,"Old and crippled, he had courage enough to do the work."
crippled,The victim was crippled by dogs.
crippled,He was crippled by the accident.
crisp air,The crisp air hinted at autumn.
crisp air,I enjoy the crisp air of cold weather.
crisp air,"He went skiing and breathed in the fresh, crisp air."
crumble,I guess that's just the way the cookie crumbles.
crumble,The building crumbled to pieces three years ago.
crumble,Old traditions are crumbling away.
crumble,That's the way the cookie crumbles.
cuddling,"I enjoy reading, cuddling by the fireplace and slow dancing."
